user_id,k,l,tau,CTE_A2S_H,CTE_S2A_H,Delta_CTE,p_A2S_H,p_S2A_H,n_samples,n_samples_per_bin_min,low_n
1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842,1,1,1,0.008461857268945156,0.027787377206722565,-0.01932551993777741,0.011988011988011988,0.13186813186813187,6579,456,False
1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842,2,2,1,0.025726462689713167,0.08044143333946435,-0.054714970649751185,0.006993006993006993,0.2547452547452547,6578,456,False
1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842,3,3,1,0.04667914079431128,0.12233241404880503,-0.07565327325449375,0.001998001998001998,0.5334665334665335,6577,456,False
1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842,4,4,1,0.06342803743065827,0.12942612985617355,-0.06599809242551528,0.002997002997002997,0.44655344655344653,6576,456,False
24E40C4C-A349-4F9F-93AB-01D00FB994AF,1,1,1,0.019070918790976343,0.06925657721978037,-0.05018565842880403,0.003996003996003996,0.000999000999000999,3223,1,False
24E40C4C-A349-4F9F-93AB-01D00FB994AF,2,2,1,0.052609752537851245,0.18537963357443119,-0.13276988103657994,0.005994005994005994,0.000999000999000999,3222,1,False
24E40C4C-A349-4F9F-93AB-01D00FB994AF,3,3,1,0.09101568657710699,0.23822446055489863,-0.14720877397779164,0.006993006993006993,0.007992007992007992,3221,1,False
24E40C4C-A349-4F9F-93AB-01D00FB994AF,4,4,1,0.1181432089302542,0.1930676342569276,-0.0749244253266734,0.001998001998001998,0.7582417582417582,3220,1,False
27E04243-B138-4F40-A164-F40B60165CF3,1,1,1,0.01601013299697716,0.06822806963563524,-0.05221793663865808,0.03896103896103896,0.17182817182817184,2641,341,False
27E04243-B138-4F40-A164-F40B60165CF3,2,2,1,0.029615689801969526,0.0770041450813349,-0.04738845527936537,0.015984015984015984,0.6543456543456544,2640,341,False
27E04243-B138-4F40-A164-F40B60165CF3,3,3,1,0.04123839944690884,0.08399285559268424,-0.0427544561457754,0.001998001998001998,0.6263736263736264,2639,341,False
27E04243-B138-4F40-A164-F40B60165CF3,4,4,1,0.05033079969872515,0.08165414055754291,-0.031323340858817765,0.007992007992007992,0.47152847152847155,2638,341,False
2C32C23E-E30C-498A-8DD2-0EFB9150A02E,1,1,1,0.013093144093305769,0.034183479120012475,-0.021090335026706708,0.000999000999000999,0.21178821178821178,6593,971,False
2C32C23E-E30C-498A-8DD2-0EFB9150A02E,2,2,1,0.038841995724571476,0.09811024375775682,-0.05926824803318534,0.006993006993006993,0.6403596403596403,6592,971,False
2C32C23E-E30C-498A-8DD2-0EFB9150A02E,3,3,1,0.07531306654999805,0.17704545473637517,-0.10173238818637713,0.012987012987012988,0.5754245754245755,6591,971,False
2C32C23E-E30C-498A-8DD2-0EFB9150A02E,4,4,1,0.10181031420696318,0.1687276379803649,-0.0669173237734017,0.001998001998001998,0.8321678321678322,6590,971,False
33A85C34-CFE4-4732-9E73-0A7AC861B27A,1,1,1,0.010688927472734729,0.060733299853350506,-0.05004437238061578,0.0969030969030969,0.001998001998001998,4691,518,False
33A85C34-CFE4-4732-9E73-0A7AC861B27A,2,2,1,0.038791329564787036,0.10619580101933976,-0.06740447145455272,0.000999000999000999,0.000999000999000999,4690,518,False
33A85C34-CFE4-4732-9E73-0A7AC861B27A,3,3,1,0.05748000137999809,0.12722685935977152,-0.06974685797977342,0.002997002997002997,0.01098901098901099,4689,518,False
33A85C34-CFE4-4732-9E73-0A7AC861B27A,4,4,1,0.07471189909112995,0.12716120639037903,-0.052449307299249084,0.001998001998001998,0.028971028971028972,4688,518,False
3600D531-0C55-44A7-AE95-A7A38519464E,1,1,1,0.009771400237430505,0.04427827319676236,-0.03450687295933186,0.5614385614385614,0.23376623376623376,3766,412,False
3600D531-0C55-44A7-AE95-A7A38519464E,2,2,1,0.019514722021769664,0.08582206630340697,-0.0663073442816373,0.6593406593406593,0.2887112887112887,3765,412,False
3600D531-0C55-44A7-AE95-A7A38519464E,3,3,1,0.028324927004035005,0.15099516853259354,-0.12267024152855853,0.7292707292707292,0.004995004995004995,3764,412,False
3600D531-0C55-44A7-AE95-A7A38519464E,4,4,1,0.038115910178064975,0.16805714166195973,-0.12994123148389475,0.5514485514485514,0.25074925074925075,3763,412,False
40E170A7-607B-4578-AF04-F021C3B0384A,1,1,1,0.0071259951589211805,0.024585933112766384,-0.017459937953845203,0.0999000999000999,0.7672327672327672,6006,546,False
40E170A7-607B-4578-AF04-F021C3B0384A,2,2,1,0.03233814717949274,0.09497746671824966,-0.06263931953875693,0.000999000999000999,0.000999000999000999,6005,546,False
40E170A7-607B-4578-AF04-F021C3B0384A,3,3,1,0.0516203617611855,0.12881711537712517,-0.07719675361593967,0.001998001998001998,0.001998001998001998,6004,546,False
40E170A7-607B-4578-AF04-F021C3B0384A,4,4,1,0.06457915224718078,0.1292502965089279,-0.06467114426174711,0.000999000999000999,0.12287712287712288,6003,546,False
481F4DD2-7689-43B9-A2AA-C8772227162B,1,1,1,0.005814537725863333,0.03995520801523133,-0.034140670289368,0.4515484515484515,0.002997002997002997,5597,403,False
481F4DD2-7689-43B9-A2AA-C8772227162B,2,2,1,0.02676243742607383,0.07432317127391291,-0.047560733847839085,0.002997002997002997,0.004995004995004995,5596,403,False
