user_id,k,l,tau,TE_A2S,TE_S2A,Delta_TE,p_A2S,p_S2A,n_samples,low_n
3600D531-0C55-44A7-AE95-A7A38519464E,1,1,1,0.002417454388760098,0.012361110612090276,-0.009943656223330178,0.2597402597402597,0.12187812187812187,3766,False
3600D531-0C55-44A7-AE95-A7A38519464E,2,2,1,0.008296589193187907,0.03894598801333382,-0.030649398820145914,0.36563436563436563,0.022977022977022976,3765,False
3600D531-0C55-44A7-AE95-A7A38519464E,3,3,1,0.01498764462193761,0.09118438736362428,-0.07619674274168667,0.6643356643356644,0.030969030969030968,3764,False
3600D531-0C55-44A7-AE95-A7A38519464E,4,4,1,0.024492456080318227,0.1471975183591961,-0.12270506227887787,0.5114885114885115,0.057942057942057944,3763,False
40E170A7-607B-4578-AF04-F021C3B0384A,1,1,1,0.003792255435288234,0.006756283545511501,-0.0029640281102232668,0.000999000999000999,0.28771228771228774,6006,False
40E170A7-607B-4578-AF04-F021C3B0384A,2,2,1,0.015800065456238598,0.03836956561224332,-0.022569500156004722,0.000999000999000999,0.000999000999000999,6005,False
40E170A7-607B-4578-AF04-F021C3B0384A,3,3,1,0.03466357457838124,0.0935425373843071,-0.058878962805925854,0.001998001998001998,0.001998001998001998,6004,False
40E170A7-607B-4578-AF04-F021C3B0384A,4,4,1,0.04888076271278342,0.12337088471491055,-0.07449012200212712,0.000999000999000999,0.003996003996003996,6003,False
481F4DD2-7689-43B9-A2AA-C8772227162B,1,1,1,0.0026382469560961496,0.017766910785115244,-0.015128663829019093,0.03896103896103896,0.002997002997002997,5597,False
481F4DD2-7689-43B9-A2AA-C8772227162B,2,2,1,0.01431956102380969,0.04192116436472515,-0.027601603340915458,0.002997002997002997,0.000999000999000999,5596,False
481F4DD2-7689-43B9-A2AA-C8772227162B,3,3,1,0.028279840551107042,0.08978107304299142,-0.061501232491884376,0.001998001998001998,0.002997002997002997,5595,False
481F4DD2-7689-43B9-A2AA-C8772227162B,4,4,1,0.04286883911238984,0.11996795363731624,-0.0770991145249264,0.001998001998001998,0.002997002997002997,5594,False
4E98F91F-4654-42EF-B908-A3389443F2E7,1,1,1,0.003424903679331002,0.025629707318116344,-0.022204803638785343,0.35764235764235763,0.14285714285714285,2436,False
4E98F91F-4654-42EF-B908-A3389443F2E7,2,2,1,0.02567686306521805,0.06229879561122317,-0.036621932546005126,0.000999000999000999,0.04995004995004995,2435,False
4E98F91F-4654-42EF-B908-A3389443F2E7,3,3,1,0.042435394821083,0.1278191711988348,-0.0853837763777518,0.001998001998001998,0.5634365634365635,2434,False
4E98F91F-4654-42EF-B908-A3389443F2E7,4,4,1,0.05578386841357391,0.14159204644502377,-0.08580817803144986,0.000999000999000999,0.48951048951048953,2433,False
4FC32141-E888-4BFF-8804-12559A491D8C,1,1,1,0.005524261825474557,0.03309094390067857,-0.027566682075204015,0.03396603396603397,0.000999000999000999,4580,False
4FC32141-E888-4BFF-8804-12559A491D8C,2,2,1,0.022900741501440953,0.057085029922582506,-0.03418428842114155,0.002997002997002997,0.003996003996003996,4579,False
4FC32141-E888-4BFF-8804-12559A491D8C,3,3,1,0.047671040704071355,0.10866930939555144,-0.06099826869148009,0.000999000999000999,0.007992007992007992,4578,False
4FC32141-E888-4BFF-8804-12559A491D8C,4,4,1,0.06503454262043329,0.15442598461082135,-0.08939144199038807,0.001998001998001998,0.026973026973026972,4577,False
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,1,1,1,0.008049110216894589,0.029291972620060763,-0.021242862403166175,0.000999000999000999,0.000999000999000999,5996,False
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,2,2,1,0.017301841088569348,0.04685915789907964,-0.029557316810510294,0.001998001998001998,0.000999000999000999,5995,False
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,3,3,1,0.037712482007781614,0.09284444712336284,-0.05513196511558123,0.000999000999000999,0.000999000999000999,5994,False
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,4,4,1,0.05971744705783752,0.11193799093176579,-0.05222054387392827,0.000999000999000999,0.000999000999000999,5993,False
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,1,1,1,0.0020471518521403393,0.014561359624436106,-0.012514207772295767,0.04895104895104895,0.07892107892107893,6380,False
